index,veg1,veg2,veg3
0,0.000105,0.000094,0.000078
1,0.000175,0.000146,0.000106
2,0.000261,0.000201,0.000134
3,0.000358,0.000261,0.000154
4,0.000469,0.000327,0.000181
5,0.000588,0.000402,0.000209
6,0.000735,0.000494,0.000250
7,0.000901,0.000594,0.000286
8,0.001099,0.000723,0.000325
9,0.001325,0.000836,0.000369
10,0.001568,0.000977,0.000419
11,0.001830,0.001107,0.000478
12,0.002115,0.001260,0.000530
13,0.002434,0.001432,0.000590
14,0.002794,0.001609,0.000645
15,0.003143,0.001787,0.000707
16,0.003553,0.002006,0.000779
17,0.004004,0.002241,0.000856
18,0.004451,0.002458,0.000942
19,0.004926,0.002717,0.001028
20,0.005444,0.002988,0.001111
21,0.005990,0.003262,0.001199
22,0.006555,0.003546,0.001290
23,0.007156,0.003880,0.001389
24,0.007795,0.004202,0.001490
25,0.008506,0.004583,0.001597
26,0.009262,0.004955,0.001713
27,0.010051,0.005347,0.001815
28,0.010885,0.005767,0.001933
29,0.011717,0.006168,0.002053
30,0.012607,0.006611,0.002177
31,0.013535,0.007054,0.002313
32,0.014465,0.007495,0.002441
33,0.015461,0.007973,0.002602
34,0.016528,0.008475,0.002759
35,0.017584,0.009013,0.002905
36,0.018723,0.009556,0.003057
37,0.019840,0.010115,0.003226
38,0.021046,0.010682,0.003387
39,0.022280,0.011310,0.003555
40,0.023545,0.011943,0.003724
41,0.024844,0.012569,0.003920
42,0.026218,0.013231,0.004115
43,0.027623,0.013918,0.004302
44,0.029099,0.014644,0.004515
45,0.030560,0.015333,0.004719
46,0.032053,0.016046,0.004944
47,0.033556,0.016837,0.005154
48,0.035150,0.017620,0.005398
49,0.036742,0.018425,0.005616
50,0.038351,0.019267,0.005836
51,0.040022,0.020122,0.006086
52,0.041769,0.021033,0.006354
53,0.043466,0.021940,0.006612
54,0.045370,0.022865,0.006881
55,0.047209,0.023765,0.007156
56,0.049127,0.024721,0.007424
57,0.051029,0.025705,0.007680
58,0.053036,0.026711,0.007953
59,0.055106,0.027737,0.008257
60,0.057198,0.028829,0.008568
61,0.059359,0.029898,0.008867
62,0.061476,0.030988,0.009191
63,0.063643,0.032107,0.009483
64,0.065811,0.033207,0.009806
65,0.068047,0.034393,0.010140
66,0.070366,0.035565,0.010501
67,0.072711,0.036734,0.010832
68,0.075114,0.037964,0.011189
69,0.077527,0.039213,0.011554
70,0.080007,0.040469,0.011920
71,0.082592,0.041713,0.012290
72,0.085128,0.043044,0.012664
73,0.087719,0.044341,0.013057
74,0.090399,0.045702,0.013438
75,0.093104,0.047073,0.013826
76,0.095887,0.048474,0.014221
77,0.098668,0.049869,0.014627
78,0.101479,0.051324,0.015024
79,0.104380,0.052779,0.015444
80,0.107292,0.054280,0.015893
81,0.110209,0.055812,0.016332
82,0.113154,0.057336,0.016805
83,0.116171,0.058911,0.017257
84,0.119227,0.060399,0.017708
85,0.122355,0.062026,0.018176
86,0.125599,0.063696,0.018642
87,0.128796,0.065330,0.019121
88,0.131997,0.066992,0.019619
89,0.135280,0.068643,0.020098
90,0.138680,0.070310,0.020591
91,0.142059,0.072073,0.021087
92,0.145456,0.073784,0.021602
93,0.148959,0.075520,0.022106
94,0.152463,0.077317,0.022631
95,0.155973,0.079056,0.023175
96,0.159567,0.080820,0.023732
97,0.163267,0.082610,0.024304
98,0.167006,0.084463,0.024871
99,0.170752,0.086359,0.025452
100,0.174524,0.088312,0.026022
101,0.178283,0.090220,0.026631
102,0.182098,0.092181,0.027208
103,0.185949,0.094181,0.027817
104,0.189902,0.096167,0.028402
105,0.193858,0.098240,0.029025
106,0.197864,0.100320,0.029648
107,0.201995,0.102415,0.030273
108,0.206080,0.104488,0.030908
109,0.210227,0.106675,0.031513
110,0.214431,0.108778,0.032137
111,0.218657,0.110974,0.032778
112,0.222933,0.113131,0.033475
113,0.227292,0.115356,0.034110
114,0.231674,0.117557,0.034821
115,0.236118,0.119823,0.035503
116,0.240646,0.122123,0.036226
117,0.245131,0.124409,0.036921
118,0.249731,0.126762,0.037606
119,0.254255,0.129092,0.038341
120,0.258932,0.131463,0.039061
121,0.263601,0.133862,0.039816
122,0.268334,0.136277,0.040551
123,0.273070,0.138754,0.041296
124,0.277842,0.141249,0.042054
125,0.282655,0.143733,0.042822
126,0.287543,0.146284,0.043585
127,0.292481,0.148787,0.044327
128,0.297437,0.151291,0.045074
129,0.302505,0.153909,0.045863
130,0.307574,0.156584,0.046661
131,0.312741,0.159239,0.047444
132,0.317958,0.161906,0.048246
133,0.323295,0.164601,0.049082
134,0.328584,0.167310,0.049876
135,0.333854,0.170031,0.050738
136,0.339203,0.172747,0.051600
137,0.344564,0.175484,0.052446
138,0.349974,0.178257,0.053258
139,0.355507,0.181071,0.054105
140,0.361066,0.183964,0.055007
141,0.366520,0.186791,0.055883
142,0.372140,0.189695,0.056735
143,0.377805,0.192615,0.057653
144,0.383489,0.195606,0.058586
145,0.389200,0.198572,0.059498
146,0.394948,0.201622,0.060419
147,0.400687,0.204722,0.061335
148,0.406546,0.207707,0.062272
149,0.412435,0.210845,0.063188
150,0.418350,0.213895,0.064155
151,0.424368,0.216920,0.065123
152,0.430356,0.220043,0.066096
153,0.436428,0.223211,0.067031
154,0.442557,0.226411,0.067977
155,0.448697,0.229642,0.068966
156,0.454940,0.232878,0.069924
157,0.461174,0.236105,0.070953
158,0.467525,0.239387,0.071960
159,0.473879,0.242703,0.072951
160,0.480386,0.245989,0.073942
161,0.486826,0.249363,0.074992
162,0.493445,0.252781,0.076019
163,0.500115,0.256169,0.077072
164,0.506735,0.259636,0.078097
165,0.513350,0.263065,0.079155
166,0.520052,0.266483,0.080189
167,0.526721,0.269913,0.081278
168,0.533494,0.273412,0.082355
169,0.540425,0.276935,0.083434
170,0.547209,0.280515,0.084546
171,0.554067,0.284090,0.085681
172,0.561047,0.287684,0.086818
173,0.568021,0.291340,0.087949
174,0.575061,0.295022,0.089081
175,0.582213,0.298716,0.090164
176,0.589265,0.302421,0.091304
177,0.596534,0.306194,0.092443
178,0.603539,0.310001,0.093634
179,0.610751,0.313710,0.094825
180,0.617945,0.317457,0.096016
181,0.625183,0.321286,0.097214
182,0.632485,0.325172,0.098423
183,0.639838,0.328981,0.099657
184,0.647184,0.332999,0.100876
185,0.654411,0.336917,0.102094
