index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg3R
0,0.000015,0.000087,0.000010,0.000079,0.000004,0.000070
1,0.000034,0.000115,0.000024,0.000099,0.000008,0.000075
2,0.000061,0.000153,0.000043,0.000125,0.000012,0.000082
3,0.000091,0.000198,0.000067,0.000152,0.000016,0.000089
4,0.000123,0.000248,0.000089,0.000184,0.000020,0.000096
5,0.000170,0.000324,0.000121,0.000227,0.000027,0.000103
6,0.000236,0.000408,0.000156,0.000275,0.000035,0.000112
7,0.000309,0.000497,0.000201,0.000329,0.000045,0.000123
8,0.000400,0.000612,0.000248,0.000393,0.000051,0.000134
9,0.000491,0.000733,0.000299,0.000464,0.000061,0.000150
10,0.000590,0.000870,0.000354,0.000539,0.000073,0.000166
11,0.000721,0.001020,0.000418,0.000621,0.000087,0.000185
12,0.000851,0.001183,0.000482,0.000705,0.000103,0.000202
13,0.000977,0.001355,0.000560,0.000797,0.000119,0.000217
14,0.001126,0.001556,0.000650,0.000914,0.000136,0.000231
15,0.001286,0.001752,0.000739,0.001022,0.000152,0.000254
16,0.001470,0.001968,0.000828,0.001142,0.000167,0.000272
17,0.001661,0.002202,0.000918,0.001262,0.000184,0.000295
18,0.001860,0.002451,0.001026,0.001388,0.000198,0.000314
19,0.002061,0.002719,0.001139,0.001530,0.000212,0.000339
20,0.002285,0.002983,0.001244,0.001670,0.000233,0.000370
21,0.002529,0.003267,0.001365,0.001853,0.000253,0.000396
22,0.002786,0.003575,0.001490,0.002036,0.000272,0.000421
23,0.003078,0.003909,0.001624,0.002211,0.000289,0.000450
24,0.003385,0.004224,0.001749,0.002394,0.000311,0.000483
25,0.003698,0.004575,0.001899,0.002584,0.000330,0.000509
26,0.004042,0.004940,0.002074,0.002768,0.000356,0.000532
27,0.004377,0.005320,0.002239,0.002969,0.000383,0.000571
28,0.004754,0.005720,0.002402,0.003182,0.000407,0.000610
29,0.005180,0.006157,0.002600,0.003407,0.000427,0.000647
30,0.005604,0.006592,0.002802,0.003631,0.000455,0.000681
31,0.006063,0.007019,0.002994,0.003889,0.000482,0.000716
32,0.006527,0.007484,0.003210,0.004139,0.000519,0.000755
33,0.006999,0.007963,0.003416,0.004374,0.000549,0.000793
34,0.007491,0.008467,0.003674,0.004628,0.000580,0.000833
35,0.007973,0.009014,0.003947,0.004907,0.000614,0.000877
36,0.008451,0.009569,0.004202,0.005203,0.000658,0.000926
