index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg4L
0,0.000007,0.000068,0.000005,0.000065,0.000001,0.000064
1,0.000016,0.000081,0.000009,0.000071,0.000002,0.000068
2,0.000026,0.000093,0.000013,0.000078,0.000004,0.000070
3,0.000038,0.000113,0.000025,0.000087,0.000009,0.000074
4,0.000063,0.000142,0.000038,0.000101,0.000011,0.000079
5,0.000090,0.000182,0.000050,0.000120,0.000018,0.000085
6,0.000120,0.000222,0.000067,0.000140,0.000023,0.000093
7,0.000169,0.000279,0.000083,0.000166,0.000029,0.000099
8,0.000230,0.000333,0.000103,0.000204,0.000033,0.000109
9,0.000292,0.000387,0.000135,0.000231,0.000039,0.000121
10,0.000370,0.000474,0.000168,0.000261,0.000047,0.000133
11,0.000449,0.000566,0.000203,0.000303,0.000052,0.000141
12,0.000544,0.000665,0.000244,0.000344,0.000063,0.000156
13,0.000656,0.000774,0.000292,0.000393,0.000074,0.000170
14,0.000786,0.000898,0.000341,0.000440,0.000087,0.000180
15,0.000925,0.001036,0.000406,0.000496,0.000105,0.000191
16,0.001076,0.001171,0.000463,0.000566,0.000116,0.000203
17,0.001253,0.001314,0.000537,0.000634,0.000131,0.000225
18,0.001424,0.001465,0.000610,0.000704,0.000151,0.000250
19,0.001621,0.001652,0.000689,0.000792,0.000179,0.000273
20,0.001822,0.001844,0.000780,0.000883,0.000204,0.000296
21,0.002050,0.002078,0.000869,0.000980,0.000229,0.000320
22,0.002286,0.002296,0.000979,0.001084,0.000252,0.000356
23,0.002537,0.002534,0.001092,0.001192,0.000276,0.000385
24,0.002819,0.002795,0.001219,0.001311,0.000302,0.000419
25,0.003105,0.003055,0.001357,0.001437,0.000333,0.000442
26,0.003408,0.003339,0.001490,0.001557,0.000367,0.000473
27,0.003721,0.003641,0.001626,0.001691,0.000394,0.000513
28,0.004078,0.003932,0.001788,0.001839,0.000436,0.000547
29,0.004474,0.004276,0.001943,0.001980,0.000474,0.000589
30,0.004858,0.004587,0.002130,0.002138,0.000507,0.000626
31,0.005267,0.004937,0.002313,0.002297,0.000552,0.000657
32,0.005688,0.005308,0.002493,0.002457,0.000588,0.000699
33,0.006144,0.005713,0.002682,0.002649,0.000645,0.000738
34,0.006600,0.006099,0.002892,0.002834,0.000696,0.000778
35,0.007040,0.006516,0.003095,0.003021,0.000753,0.000831
36,0.007550,0.006953,0.003323,0.003212,0.000804,0.000871
37,0.008074,0.007403,0.003535,0.003439,0.000843,0.000917
38,0.008631,0.007849,0.003784,0.003653,0.000895,0.000966
39,0.009218,0.008310,0.004025,0.003870,0.000948,0.001024
40,0.009786,0.008831,0.004266,0.004093,0.001003,0.001081
41,0.010400,0.009357,0.004537,0.004337,0.001067,0.001132
42,0.010996,0.009941,0.004817,0.004606,0.001129,0.001198
43,0.011638,0.010494,0.005092,0.004850,0.001195,0.001263
44,0.012266,0.011060,0.005383,0.005115,0.001270,0.001323
45,0.012943,0.011616,0.005679,0.005388,0.001345,0.001390
46,0.013614,0.012214,0.005982,0.005679,0.001423,0.001450
47,0.014330,0.012797,0.006310,0.005970,0.001490,0.001523
48,0.015068,0.013422,0.006664,0.006269,0.001574,0.001589
49,0.015829,0.014062,0.007014,0.006570,0.001658,0.001659
50,0.016615,0.014715,0.007375,0.006886,0.001745,0.001736
51,0.017449,0.015379,0.007744,0.007219,0.001836,0.001799
52,0.018256,0.016059,0.008114,0.007560,0.001920,0.001879
53,0.019072,0.016805,0.008490,0.007902,0.002005,0.001957
54,0.019953,0.017521,0.008893,0.008259,0.002102,0.002036
55,0.020837,0.018255,0.009297,0.008586,0.002199,0.002124
56,0.021769,0.019055,0.009720,0.008950,0.002294,0.002218
