index,veg1,veg2,veg3
0,0.000059,0.000038,0.000018
1,0.000132,0.000078,0.000032
2,0.000234,0.000137,0.000049
3,0.000377,0.000208,0.000071
4,0.000534,0.000295,0.000098
5,0.000737,0.000394,0.000126
6,0.000981,0.000512,0.000156
7,0.001261,0.000657,0.000193
8,0.001589,0.000814,0.000233
9,0.001932,0.000973,0.000284
10,0.002331,0.001163,0.000336
11,0.002780,0.001364,0.000391
12,0.003259,0.001581,0.000455
13,0.003764,0.001830,0.000518
14,0.004329,0.002092,0.000585
15,0.004911,0.002383,0.000663
16,0.005570,0.002678,0.000743
17,0.006241,0.002996,0.000829
18,0.006988,0.003337,0.000916
19,0.007789,0.003695,0.001003
20,0.008647,0.004075,0.001101
21,0.009564,0.004501,0.001202
22,0.010522,0.004921,0.001301
23,0.011555,0.005382,0.001401
24,0.012641,0.005847,0.001523
25,0.013768,0.006346,0.001644
26,0.014896,0.006915,0.001756
27,0.016146,0.007496,0.001899
28,0.017451,0.008096,0.002035
29,0.018776,0.008718,0.002169
30,0.020146,0.009356,0.002318
31,0.021556,0.010023,0.002482
32,0.023022,0.010698,0.002638
33,0.024524,0.011406,0.002812
34,0.026137,0.012120,0.002978
35,0.027745,0.012895,0.003170
36,0.029413,0.013643,0.003338
37,0.031139,0.014413,0.003529
38,0.032952,0.015233,0.003728
39,0.034841,0.016080,0.003920
40,0.036782,0.016906,0.004100
41,0.038775,0.017864,0.004312
42,0.040853,0.018773,0.004556
43,0.042927,0.019722,0.004787
44,0.045066,0.020720,0.005026
45,0.047268,0.021708,0.005258
46,0.049479,0.022729,0.005504
47,0.051847,0.023815,0.005758
48,0.054276,0.024911,0.005991
49,0.056653,0.026064,0.006255
50,0.059125,0.027247,0.006525
51,0.061685,0.028445,0.006805
52,0.064331,0.029648,0.007087
53,0.067044,0.030883,0.007372
54,0.069757,0.032116,0.007665
55,0.072543,0.033366,0.007963
56,0.075292,0.034661,0.008269
57,0.078129,0.036002,0.008566
58,0.081022,0.037371,0.008867
59,0.084028,0.038806,0.009186
60,0.087046,0.040228,0.009531
61,0.090159,0.041729,0.009857
62,0.093292,0.043186,0.010204
63,0.096512,0.044689,0.010552
64,0.099797,0.046238,0.010905
65,0.103180,0.047756,0.011262
66,0.106554,0.049341,0.011641
67,0.110032,0.050945,nan
68,0.113589,0.052576,nan
69,0.117178,0.054203,0.012808
70,0.120787,0.055914,0.013211
71,0.124517,0.057604,0.013597
72,0.128226,0.059316,0.014008
73,0.132042,0.061057,0.014418
74,0.135922,0.062812,0.014810
75,0.139897,0.064652,0.015254
76,0.143939,0.066523,0.015698
77,0.147923,0.068388,0.016137
78,0.151978,0.070241,0.016595
79,0.156088,0.072096,0.017064
80,0.160309,0.074005,0.017557
